Game ID,Date,Day of Week,Time (ET),Team 1 Code,Team 1 Name,Team 2 Code,Team 2 Name,Venue,Pool,Phase
32,Mar 6,Friday,7:00 PM,NCA,Nicaragua,DOM,Dominican Republic,"loanDepot park - Miami, FL",D,Pool Play
33,Mar 7,Saturday,12:00 PM,NCA,Nicaragua,NED,Netherlands,"loanDepot park - Miami, FL",D,Pool Play
34,Mar 7,Saturday,7:00 PM,ISR,Israel,VEN,Venezuela,"loanDepot park - Miami, FL",D,Pool Play
35,Mar 8,Sunday,12:00 PM,NED,Netherlands,DOM,Dominican Republic,"loanDepot park - Miami, FL",D,Pool Play
36,Mar 8,Sunday,7:00 PM,NCA,Nicaragua,ISR,Israel,"loanDepot park - Miami, FL",D,Pool Play
37,Mar 9,Monday,12:00 PM,DOM,Dominican Republic,ISR,Israel,"loanDepot park - Miami, FL",D,Pool Play
38,Mar 9,Monday,7:00 PM,VEN,Venezuela,NCA,Nicaragua,"loanDepot park - Miami, FL",D,Pool Play
39,Mar 10,Tuesday,7:00 PM,ISR,Israel,NED,Netherlands,"loanDepot park - Miami, FL",D,Pool Play
40,Mar 11,Wednesday,8:00 PM,DOM,Dominican Republic,VEN,Venezuela,"loanDepot park - Miami, FL",D,Pool Play
41,Mar 13,Friday,6:30 PM,TBD,TBD,TBD,TBD,"loanDepot park - Miami, FL",,Quarterfinals
42,Mar 13,Friday,8:00 PM,TBD,TBD,TBD,TBD,"Daikin Park - Houston, TX",,Quarterfinals
43,Mar 14,Saturday,3:00 PM,TBD,TBD,TBD,TBD,"Daikin Park - Houston, TX",,Quarterfinals
44,Mar 14,Saturday,9:00 PM,TBD,TBD,TBD,TBD,"loanDepot park - Miami, FL",,Quarterfinals
45,Mar 15,Sunday,8:00 PM,TBD,TBD,TBD,TBD,"loanDepot park - Miami, FL",,Semifinals
46,Mar 16,Monday,8:00 PM,TBD,TBD,TBD,TBD,"loanDepot park - Miami, FL",,Semifinals
47,Mar 17,Tuesday,8:00 PM,TBD,TBD,TBD,TBD,"loanDepot park - Miami, FL",,Final
